model,percentile,threshold,precision,recall,f1,flagged
IsolationForest,80,0.5543581561078474,0.8207547169811321,0.58,0.6796875,106
IsolationForest,85,0.5701815223095499,0.8481012658227848,0.44666666666666666,0.5851528384279476,79
IsolationForest,90,0.5892345816896297,0.8867924528301887,0.31333333333333335,0.4630541871921182,53
IsolationForest,92,0.5993305888871788,0.8837209302325582,0.25333333333333335,0.39378238341968913,43
IsolationForest,95,0.6110279501259495,0.9259259259259259,0.16666666666666666,0.2824858757062147,27
IsolationForest,97,0.6336873582170788,1.0,0.10666666666666667,0.1927710843373494,16
IsolationForest,99,0.685307113950861,1.0,0.04,0.07692307692307693,6
Autoencoder,80,0.04781187325716019,0.4811320754716981,0.34,0.3984375,106
Autoencoder,85,0.05164678767323494,0.5949367088607594,0.31333333333333335,0.4104803493449782,79
Autoencoder,90,0.059908177703619,0.7169811320754716,0.25333333333333335,0.37438423645320196,53
Autoencoder,92,0.06504780799150467,0.813953488372093,0.23333333333333334,0.3626943005181347,43
Autoencoder,95,0.08663073927164078,0.9259259259259259,0.16666666666666666,0.2824858757062147,27
Autoencoder,97,0.10416793078184128,1.0,0.10666666666666667,0.1927710843373494,16
Autoencoder,99,0.15499944984912872,1.0,0.04,0.07692307692307693,6
